City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
279,Buala,SB,80.56,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
280,Kawalu,ID,73.67,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
285,Poum,NC,76.91,overcast clouds,-20.2333,164.0167,Gîte kajeon
286,Samarai,PG,83.12,broken clouds,-10.6167,150.6667,Nuli Sapi
292,Shetpe,KZ,78.22,few clouds,44.1667,52.1167,Rtsm Shetpe Analog
296,Sayyan,YE,71.29,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
302,Kalianget,ID,81.64,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
312,Salinopolis,BR,81.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
314,Saldanha,ZA,71.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
315,Frutal,BR,81.63,overcast clouds,-20.0247,-48.9406,Hotel Recanto Dos Ipês
320,Dahra,DZ,86.0,broken clouds,36.2546,0.8519,Ein Mtabol
321,Myitkyina,MM,88.09,broken clouds,25.3833,97.4,Shwe Phyu Hotel
324,Zongolica,MX,71.1,overcast clouds,18.6667,-96.9833,"Hotel Posada ""Sol y Luna"""
326,Kruisfontein,ZA,84.36,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
331,Portobelo,PA,82.99,broken clouds,9.55,-79.65,Scuba Portobelo
333,Vila Velha,BR,84.0,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
334,Isangel,VU,77.38,overcast clouds,-19.55,169.2667,Tanna Lodge
346,Loralai,PK,81.5,clear sky,30.3705,68.598,Sana Poultry Loralai
349,Karratha,AU,80.19,clear sky,-20.7377,116.8463,ibis Styles Karratha
350,Nortelandia,BR,78.49,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
354,Alofi,NU,71.6,overcast clouds,-19.0595,-169.9187,Taloa Heights
356,Breves,BR,82.74,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
361,Mogadishu,SO,87.8,few clouds,2.0371,45.3438,Hotel Juba
362,Cermik,TR,77.0,light rain,38.1361,39.4493,Çermik Öğretmen Evi
368,Axim,GH,83.88,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
374,Aquiraz,BR,84.2,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
378,Garmsar,IR,88.32,broken clouds,35.2182,52.3409,Peyvand Hotel
382,Dwarka,IN,84.79,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
384,Biak,ID,77.07,overcast clouds,-0.9131,122.8766,Penginapan Kim
388,Trairi,BR,83.66,scattered clouds,-3.2778,-39.2689,janelas do mar
391,San Cristobal,VE,80.6,few clouds,7.7669,-72.225,Posada Villaven C.A.
394,Chibombo,ZM,82.83,few clouds,-14.6569,28.0706,Chibombo District Council Guest House
399,Namibe,AO,89.6,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
403,Amudat,UG,80.46,light rain,1.95,34.95,Silent Night Hotel
404,Nhamunda,BR,78.17,moderate rain,-2.1861,-56.7131,Pousada Da Praia
405,Caxias,PT,70.0,few clouds,38.7031,-9.2767,Hotel Real Oeiras
412,Carauari,BR,77.83,overcast clouds,-4.8828,-66.8958,Hotel Fellip
413,Saint-Pierre,RE,81.0,broken clouds,-21.3393,55.4781,Lindsey Hôtel
417,Omboue,GA,84.54,overcast clouds,-1.5746,9.2618,Hotel Olako
418,Maceio,BR,84.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
422,Kupang,ID,78.37,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
425,Beba,CU,77.0,broken clouds,22.4437,-79.7253,Hostal Cubaustria
428,Quepos,CR,73.4,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
430,Tshikapa,CD,82.18,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
437,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
440,Jaguey Grande,CU,77.0,few clouds,22.5269,-81.1286,Hostal lleana
443,Mount Isa,AU,78.8,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
445,Acarau,BR,83.44,overcast clouds,-2.8856,-40.12,castelo pizzaria
448,Toamasina,MG,82.4,light rain,-18.1667,49.3833,Hotel H1
451,Da Nang,VN,82.4,few clouds,16.0678,108.2208,Sun River Hotel
453,Kimbe,PG,77.05,light rain,-5.5502,150.1429,Kimbe Bay Hotel
454,Barra Do Corda,BR,82.29,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
455,Mersin,TR,84.2,clear sky,36.862,34.6509,Nostalgia Boutique Hotel
456,Chiplun,IN,89.4,few clouds,17.5333,73.5167,Hotel Reemz
457,George,ZA,73.4,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
460,Itarema,BR,83.66,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
463,Salalah,OM,86.0,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
464,Eyl,SO,86.31,few clouds,7.9803,49.8164,Amiin Hotel
465,Puerto Suarez,BO,73.4,light intensity drizzle,-18.95,-57.8,Hotel casa real
470,Muncar,ID,76.86,broken clouds,-8.4333,114.3333,Zaky Homestay
471,San Patricio,US,73.0,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
477,Jaciara,BR,80.26,heavy intensity rain,-15.9653,-54.9683,Taba Hotel
478,Anito,PH,77.23,overcast clouds,12.4497,125.2886,The Yellow House
