City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
119,Tiksi,71.6872,128.8694,24.3,96,99,5.5,RU,overcast clouds
120,Port Alfred,-33.5906,26.891,78.48,50,100,14.72,ZA,overcast clouds
121,Rawson,-43.3002,-65.1023,57.49,66,8,16.44,AR,clear sky
122,Airai,-8.9266,125.4092,58.03,86,75,2.68,TL,broken clouds
123,Coquimbo,-29.9533,-71.3436,57.2,82,40,1.07,CL,scattered clouds
124,Atuona,-9.8,-139.0333,79.66,79,99,19.13,PF,overcast clouds
125,Cap Malheureux,-19.9842,57.6142,78.01,81,100,7.0,MU,overcast clouds
126,Reconquista,-29.15,-59.65,63.32,78,0,10.02,AR,clear sky
127,Hermanus,-34.4187,19.2345,75.99,49,100,5.01,ZA,overcast clouds
128,San Buenaventura,27.0833,-101.5333,66.2,45,1,4.63,MX,clear sky
129,Bambous Virieux,-20.3428,57.7575,78.8,78,75,16.11,MU,light rain
130,Prince Rupert,54.3161,-130.3201,48.2,61,1,9.22,CA,clear sky
131,Mae Sot,16.7167,98.5667,78.01,86,100,1.57,TH,moderate rain
132,Asfi,32.2994,-9.2372,65.3,69,8,23.85,MA,clear sky
133,Clyde River,70.4692,-68.5914,15.8,92,40,4.61,CA,scattered clouds
134,Nijar,36.9665,-2.206,75.2,43,40,20.71,ES,scattered clouds
135,Kiunga,-6.1219,141.2906,72.18,98,94,1.25,PG,overcast clouds
136,Bluff,-46.6,168.3333,39.99,83,75,5.99,NZ,broken clouds
137,Anadyr,64.75,177.4833,24.8,93,40,4.47,RU,fog
138,Kapaa,22.0752,-159.319,73.4,78,20,13.8,US,few clouds
139,Keti Bandar,24.1447,67.4497,85.64,64,0,16.62,PK,clear sky
140,Tungor,53.3808,142.9564,20.57,90,33,5.88,RU,scattered clouds
141,Coihaique,-45.5752,-72.0662,44.6,87,40,6.91,CL,scattered clouds
142,Hithadhoo,-0.6,73.0833,83.75,67,15,7.2,MV,few clouds
143,Bagdarin,54.4333,113.6,40.17,95,100,1.86,RU,light rain
144,Deputatskiy,69.3,139.9,17.56,90,100,7.09,RU,overcast clouds
145,Saint-Philippe,-21.3585,55.7679,81.0,69,75,28.77,RE,light rain
146,Sabang,5.8933,95.3214,84.27,73,90,17.31,ID,overcast clouds
147,Bilibino,68.0546,166.4372,18.99,96,100,1.81,RU,light snow
148,West Wendover,40.7391,-114.0733,51.8,50,75,14.97,US,broken clouds
149,Pevek,69.7008,170.3133,19.67,91,100,11.34,RU,overcast clouds
150,Daru,-9.0763,143.2092,79.74,83,100,4.88,PG,overcast clouds
151,Praya,14.9215,-23.5087,78.8,53,40,23.02,CV,scattered clouds
152,Hualmay,-11.0964,-77.6139,66.79,86,59,6.11,PE,broken clouds
153,Kaspiysk,42.8816,47.6392,62.6,48,44,6.71,RU,scattered clouds
154,Klyuchi,52.2667,79.1667,52.9,31,100,6.33,RU,overcast clouds
155,Matay,28.419,30.7792,102.69,6,0,15.28,EG,clear sky
156,Ancud,-41.8697,-73.8203,53.01,100,90,3.44,CL,light intensity drizzle
157,Sangar,63.9242,127.4739,28.02,97,100,6.44,RU,light snow
158,Yelkhovka,53.8667,50.2832,48.2,43,40,13.42,RU,scattered clouds
159,Zambezi,-13.5432,23.1047,83.97,35,69,5.48,ZM,broken clouds
160,Mount Gambier,-37.8333,140.7667,46.4,100,40,4.61,AU,scattered clouds
161,Ribeira Grande,38.5167,-28.7,62.6,72,40,10.36,PT,scattered clouds
162,Sao Felix Do Xingu,-6.6447,-51.995,82.22,75,95,1.48,BR,overcast clouds
163,Sampit,-2.5333,112.95,77.22,84,35,3.38,ID,scattered clouds
164,Marang,5.2056,103.2059,80.6,89,40,6.91,MY,scattered clouds
165,Tagusao,9.1924,117.8141,80.28,78,14,3.02,PH,few clouds
166,Hasaki,35.7333,140.8333,59.0,63,75,10.36,JP,broken clouds
167,Kokoda,-8.8785,147.7407,73.67,96,100,0.45,PG,overcast clouds
168,Hervey Bay,-25.2986,152.8535,64.0,80,0,3.0,AU,clear sky
169,Sabzevar,36.2126,57.6819,89.6,14,40,9.22,IR,scattered clouds
170,Irgakly,44.3611,44.7556,54.63,65,100,12.19,RU,overcast clouds
171,Kalabo,-14.97,22.6814,84.22,30,100,7.09,ZM,overcast clouds
172,Pozo Colorado,-23.4923,-58.7972,67.5,84,90,8.75,PY,overcast clouds
173,Louga,58.7372,29.8453,43.32,58,100,9.08,RU,overcast clouds
174,Yumen,40.2833,97.2,45.54,10,100,26.44,CN,overcast clouds
175,Margate,51.3813,1.3862,51.01,52,11,5.99,GB,few clouds
176,El Tigre,8.8875,-64.2454,80.47,60,95,15.84,VE,overcast clouds
177,Lashio,22.9333,97.75,84.94,30,100,1.81,MM,overcast clouds
178,Port-Gentil,-0.7193,8.7815,87.8,70,40,9.22,GA,scattered clouds
179,Avera,33.194,-82.5271,60.8,84,75,11.5,US,broken clouds
180,Sibolga,1.7427,98.7792,78.85,81,99,1.88,ID,overcast clouds
181,Ayan,56.45,138.1667,23.83,84,24,6.13,RU,few clouds
182,Shenjiamen,29.9576,122.298,60.82,88,17,6.87,CN,light rain
183,Bereda,43.2686,-7.5406,57.99,100,75,2.3,ES,broken clouds
184,Ilulissat,69.2167,-51.1,46.4,46,59,21.85,GL,broken clouds
185,Kahului,20.8947,-156.47,71.6,94,75,16.11,US,broken clouds
186,Roebourne,-20.7833,117.1333,79.77,62,0,3.0,AU,light rain
187,Kavaratti,10.5669,72.642,84.81,71,14,10.56,IN,few clouds
188,Carnarvon,-24.8667,113.6333,71.6,78,3,5.75,AU,clear sky
189,Tres Arroyos,-38.3739,-60.2798,60.24,76,30,7.09,AR,scattered clouds
